dataset: Skin_NonSkin.csv
time_cons: 255.9802701473236 s
mem_cons: 93317.5673828125 KB
precision: {'1.0': 0.83359375, '2.0': 0.8121386072236655}
recall: {'1.0': 0.10633844927247359, '2.0': 0.9945353789317051}
f1: {'1.0': 0.1886158741382358, '2.0': 0.8941298581478492}
result: 
{'label': ['0.0', '3.0', '182.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['100.0', '152.0', '222.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['128.0', '128.0', '128.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['149.0', '191.0', '250.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['230.0', '210.0', '205.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['57.0', '125.0', '192.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['184.0', '184.0', '136.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['238.0', '226.0', '222.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['235.0', '116.0', '101.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['167.0', '164.0', '113.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['209.0', '220.0', '255.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['134.0', '140.0', '87.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['202.0', '114.0', '168.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['172.0', '188.0', '231.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['84.0', '83.0', '32.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['233.0', '215.0', '78.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['199.0', '197.0', '162.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['148.0', '164.0', '217.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['114.0', '153.0', '215.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['172.0', '171.0', '121.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['100.0', '102.0', '50.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['164.0', '162.0', '114.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['200.0', '126.0', '72.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['181.0', '179.0', '131.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['48.0', '50.0', '14.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['80.0', '83.0', '34.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['103.0', '143.0', '195.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['35.0', '37.0', '8.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['132.0', '135.0', '90.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['147.0', '145.0', '87.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['156.0', '194.0', '255.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['253.0', '228.0', '224.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['103.0', '107.0', '160.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['178.0', '176.0', '128.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['146.0', '66.0', '125.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['141.0', '178.0', '234.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['198.0', '198.0', '158.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['102.0', '105.0', '55.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['178.0', '176.0', '128.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['136.0', '138.0', '92.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['58.0', '61.0', '16.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['54.0', '54.0', '54.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['56.0', '57.0', '23.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['14.0', '12.0', '11.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['148.0', '185.0', '253.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['95.0', '95.0', '41.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['201.0', '200.0', '162.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['122.0', '121.0', '63.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['153.0', '154.0', '104.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['120.0', '120.0', '120.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['132.0', '135.0', '89.0'], 'gt': '2.0', 'pred': '2.0'}
