dataset: Social_Network_Ads.csv
time_cons: 0.19750714302062988 s
mem_cons: 4071.271484375 KB
precision: {'0': 0.8490566037735849, '1': 0.7407407407407407}
recall: {'0': 0.8653846153846154, '1': 0.7142857142857143}
f1: {'0': 0.8571428571428571, '1': 0.7272727272727273}
result: 
{'label': [1, '46.0', '22000.0'], 'gt': '0', 'pred': '1'}
{'label': [1, '59.0', '88000.0'], 'gt': '1', 'pred': '0'}
{'label': [1, '28.0', '44000.0'], 'gt': '0', 'pred': '0'}
{'label': [1, '48.0', '96000.0'], 'gt': '1', 'pred': '0'}
{'label': [1, '29.0', '28000.0'], 'gt': '0', 'pred': '0'}
{'label': [1, '30.0', '62000.0'], 'gt': '0', 'pred': '0'}
{'label': [1, '47.0', '107000.0'], 'gt': '1', 'pred': '0'}
{'label': [1, '29.0', '83000.0'], 'gt': '0', 'pred': '0'}
{'label': [0, '40.0', '75000.0'], 'gt': '0', 'pred': '1'}
{'label': [0, '42.0', '65000.0'], 'gt': '0', 'pred': '0'}
{'label': [1, '35.0', '65000.0'], 'gt': '0', 'pred': '0'}
{'label': [1, '53.0', '34000.0'], 'gt': '1', 'pred': '1'}
{'label': [1, '23.0', '48000.0'], 'gt': '0', 'pred': '0'}
{'label': [1, '20.0', '23000.0'], 'gt': '0', 'pred': '0'}
{'label': [0, '30.0', '87000.0'], 'gt': '0', 'pred': '0'}
{'label': [0, '35.0', '108000.0'], 'gt': '0', 'pred': '1'}
{'label': [1, '52.0', '38000.0'], 'gt': '1', 'pred': '0'}
{'label': [1, '46.0', '74000.0'], 'gt': '0', 'pred': '1'}
{'label': [0, '39.0', '42000.0'], 'gt': '0', 'pred': '0'}
{'label': [0, '56.0', '60000.0'], 'gt': '1', 'pred': '1'}
{'label': [1, '22.0', '27000.0'], 'gt': '0', 'pred': '0'}
{'label': [0, '29.0', '80000.0'], 'gt': '0', 'pred': '0'}
{'label': [0, '47.0', '23000.0'], 'gt': '1', 'pred': '1'}
{'label': [1, '59.0', '76000.0'], 'gt': '1', 'pred': '0'}
{'label': [0, '19.0', '19000.0'], 'gt': '0', 'pred': '0'}
{'label': [0, '51.0', '23000.0'], 'gt': '1', 'pred': '1'}
{'label': [0, '42.0', '80000.0'], 'gt': '0', 'pred': '1'}
{'label': [0, '37.0', '53000.0'], 'gt': '0', 'pred': '0'}
{'label': [1, '55.0', '125000.0'], 'gt': '1', 'pred': '1'}
{'label': [1, '19.0', '21000.0'], 'gt': '0', 'pred': '0'}
{'label': [1, '46.0', '41000.0'], 'gt': '1', 'pred': '1'}
{'label': [0, '19.0', '70000.0'], 'gt': '0', 'pred': '0'}
{'label': [0, '36.0', '144000.0'], 'gt': '1', 'pred': '1'}
{'label': [0, '28.0', '79000.0'], 'gt': '0', 'pred': '0'}
{'label': [0, '40.0', '107000.0'], 'gt': '1', 'pred': '1'}
{'label': [0, '35.0', '75000.0'], 'gt': '0', 'pred': '0'}
{'label': [0, '37.0', '55000.0'], 'gt': '0', 'pred': '0'}
{'label': [1, '38.0', '65000.0'], 'gt': '0', 'pred': '0'}
{'label': [0, '26.0', '30000.0'], 'gt': '0', 'pred': '0'}
{'label': [1, '18.0', '68000.0'], 'gt': '0', 'pred': '0'}
{'label': [0, '48.0', '33000.0'], 'gt': '1', 'pred': '1'}
{'label': [1, '24.0', '55000.0'], 'gt': '0', 'pred': '0'}
{'label': [0, '18.0', '52000.0'], 'gt': '0', 'pred': '0'}
{'label': [0, '47.0', '20000.0'], 'gt': '1', 'pred': '1'}
{'label': [0, '20.0', '49000.0'], 'gt': '0', 'pred': '0'}
{'label': [1, '44.0', '139000.0'], 'gt': '1', 'pred': '1'}
{'label': [0, '29.0', '61000.0'], 'gt': '0', 'pred': '0'}
{'label': [1, '31.0', '71000.0'], 'gt': '0', 'pred': '0'}
{'label': [0, '48.0', '41000.0'], 'gt': '1', 'pred': '1'}
{'label': [1, '34.0', '43000.0'], 'gt': '0', 'pred': '0'}
{'label': [0, '25.0', '79000.0'], 'gt': '0', 'pred': '0'}
{'label': [1, '53.0', '82000.0'], 'gt': '1', 'pred': '1'}
{'label': [1, '38.0', '55000.0'], 'gt': '0', 'pred': '0'}
{'label': [0, '25.0', '80000.0'], 'gt': '0', 'pred': '0'}
{'label': [1, '37.0', '80000.0'], 'gt': '0', 'pred': '0'}
{'label': [1, '27.0', '31000.0'], 'gt': '0', 'pred': '0'}
{'label': [0, '60.0', '102000.0'], 'gt': '1', 'pred': '1'}
{'label': [1, '26.0', '118000.0'], 'gt': '0', 'pred': '1'}
{'label': [0, '31.0', '74000.0'], 'gt': '0', 'pred': '0'}
{'label': [0, '31.0', '76000.0'], 'gt': '0', 'pred': '0'}
{'label': [1, '41.0', '51000.0'], 'gt': '0', 'pred': '0'}
{'label': [1, '35.0', '57000.0'], 'gt': '0', 'pred': '0'}
{'label': [1, '52.0', '90000.0'], 'gt': '1', 'pred': '1'}
{'label': [1, '28.0', '87000.0'], 'gt': '0', 'pred': '0'}
{'label': [0, '28.0', '59000.0'], 'gt': '0', 'pred': '0'}
{'label': [1, '27.0', '137000.0'], 'gt': '1', 'pred': '1'}
{'label': [1, '42.0', '90000.0'], 'gt': '1', 'pred': '1'}
{'label': [1, '47.0', '144000.0'], 'gt': '1', 'pred': '0'}
{'label': [1, '39.0', '59000.0'], 'gt': '0', 'pred': '0'}
