dataset: australian.csv
time_cons: 0.4670529365539551 s
mem_cons: 4717.240234375 KB
precision: {'0': 0.8, '1': 0.5714285714285714}
recall: {'0': 0.6896551724137931, '1': 0.7058823529411765}
f1: {'0': 0.7407407407407408, '1': 0.6315789473684211}
result: 
{'label': ['1.0', '65.42', '11.0', '2.0', '10.0', '9.0', '20.0', '1.0', '1.0', '7.0', '1.0', '2.0', '22.0', '1.0'], 'gt': '1', 'pred': '1'}
{'label': ['1.0', '18.17', '10.25', '2.0', '8.0', '8.0', '1.085', '0.0', '0.0', '0.0', '0.0', '2.0', '320.0', '14.0'], 'gt': '0', 'pred': '0'}
{'label': ['1.0', '48.5', '4.25', '2.0', '7.0', '4.0', '0.125', '1.0', '0.0', '0.0', '1.0', '2.0', '225.0', '1.0'], 'gt': '1', 'pred': '1'}
{'label': ['0.0', '36.0', '1.0', '2.0', '8.0', '4.0', '2.0', '1.0', '1.0', '11.0', '0.0', '2.0', '0.0', '457.0'], 'gt': '1', 'pred': '1'}
{'label': ['0.0', '15.75', '0.375', '2.0', '8.0', '4.0', '1.0', '0.0', '0.0', '0.0', '0.0', '2.0', '120.0', '19.0'], 'gt': '0', 'pred': '0'}
{'label': ['1.0', '54.42', '0.5', '1.0', '4.0', '8.0', '3.96', '1.0', '0.0', '0.0', '0.0', '2.0', '180.0', '315.0'], 'gt': '1', 'pred': '0'}
{'label': ['1.0', '28.33', '5.0', '2.0', '9.0', '4.0', '11.0', '1.0', '0.0', '0.0', '1.0', '2.0', '70.0', '1.0'], 'gt': '1', 'pred': '0'}
{'label': ['0.0', '56.83', '4.25', '1.0', '1.0', '1.0', '5.0', '0.0', '0.0', '0.0', '1.0', '2.0', '0.0', '5.0'], 'gt': '0', 'pred': '0'}
{'label': ['1.0', '20.42', '1.085', '2.0', '11.0', '4.0', '1.5', '0.0', '0.0', '0.0', '0.0', '2.0', '108.0', '8.0'], 'gt': '0', 'pred': '0'}
{'label': ['1.0', '37.5', '1.125', '1.0', '2.0', '4.0', '1.5', '0.0', '0.0', '0.0', '1.0', '2.0', '431.0', '1.0'], 'gt': '1', 'pred': '0'}
{'label': ['1.0', '39.92', '0.54', '1.0', '6.0', '4.0', '0.5', '1.0', '1.0', '3.0', '0.0', '2.0', '200.0', '1001.0'], 'gt': '1', 'pred': '0'}
{'label': ['1.0', '18.25', '0.165', '2.0', '2.0', '4.0', '0.25', '0.0', '0.0', '0.0', '1.0', '1.0', '280.0', '1.0'], 'gt': '0', 'pred': '0'}
{'label': ['0.0', '18.42', '9.25', '2.0', '11.0', '4.0', '1.21', '1.0', '1.0', '4.0', '0.0', '2.0', '60.0', '541.0'], 'gt': '1', 'pred': '1'}
{'label': ['1.0', '23.08', '0.0', '2.0', '4.0', '4.0', '1.0', '0.0', '1.0', '11.0', '0.0', '1.0', '0.0', '1.0'], 'gt': '0', 'pred': '0'}
{'label': ['0.0', '22.75', '6.165', '2.0', '6.0', '4.0', '0.165', '0.0', '0.0', '0.0', '0.0', '2.0', '220.0', '1001.0'], 'gt': '0', 'pred': '0'}
{'label': ['0.0', '28.67', '1.04', '2.0', '8.0', '4.0', '2.5', '1.0', '1.0', '5.0', '1.0', '2.0', '300.0', '1431.0'], 'gt': '1', 'pred': '1'}
{'label': ['1.0', '35.25', '16.5', '1.0', '8.0', '4.0', '4.0', '1.0', '0.0', '0.0', '0.0', '2.0', '80.0', '1.0'], 'gt': '0', 'pred': '1'}
{'label': ['1.0', '34.25', '3.0', '2.0', '13.0', '8.0', '7.415', '1.0', '0.0', '0.0', '1.0', '2.0', '0.0', '1.0'], 'gt': '1', 'pred': '1'}
{'label': ['1.0', '30.33', '0.5', '2.0', '2.0', '8.0', '0.085', '0.0', '0.0', '0.0', '1.0', '1.0', '252.0', '1.0'], 'gt': '0', 'pred': '0'}
{'label': ['0.0', '22.5', '8.5', '2.0', '11.0', '4.0', '1.75', '1.0', '1.0', '10.0', '0.0', '2.0', '80.0', '991.0'], 'gt': '0', 'pred': '1'}
{'label': ['1.0', '31.08', '3.085', '2.0', '8.0', '4.0', '2.5', '0.0', '1.0', '2.0', '1.0', '2.0', '160.0', '42.0'], 'gt': '0', 'pred': '1'}
{'label': ['0.0', '42.25', '1.75', '1.0', '8.0', '4.0', '0.0', '0.0', '0.0', '0.0', '1.0', '2.0', '150.0', '2.0'], 'gt': '0', 'pred': '0'}
{'label': ['0.0', '36.75', '4.71', '2.0', '1.0', '1.0', '0.0', '0.0', '0.0', '0.0', '0.0', '2.0', '160.0', '1.0'], 'gt': '0', 'pred': '0'}
{'label': ['0.0', '41.33', '1.0', '2.0', '3.0', '5.0', '2.25', '1.0', '0.0', '0.0', '1.0', '2.0', '0.0', '301.0'], 'gt': '1', 'pred': '0'}
{'label': ['1.0', '18.33', '1.21', '1.0', '10.0', '2.0', '0.0', '0.0', '0.0', '0.0', '0.0', '2.0', '100.0', '1.0'], 'gt': '0', 'pred': '0'}
{'label': ['0.0', '51.92', '6.5', '2.0', '3.0', '5.0', '3.085', '0.0', '0.0', '0.0', '1.0', '2.0', '73.0', '1.0'], 'gt': '0', 'pred': '1'}
{'label': ['1.0', '24.08', '9.0', '2.0', '6.0', '4.0', '0.25', '0.0', '0.0', '0.0', '1.0', '2.0', '0.0', '1.0'], 'gt': '0', 'pred': '0'}
{'label': ['1.0', '27.58', '3.25', '1.0', '11.0', '8.0', '5.085', '0.0', '1.0', '2.0', '1.0', '2.0', '369.0', '2.0'], 'gt': '0', 'pred': '0'}
{'label': ['1.0', '26.33', '13.0', '2.0', '10.0', '2.0', '0.0', '0.0', '0.0', '0.0', '1.0', '2.0', '140.0', '1111.0'], 'gt': '0', 'pred': '1'}
{'label': ['1.0', '23.58', '0.835', '2.0', '3.0', '8.0', '0.085', '0.0', '0.0', '0.0', '1.0', '2.0', '220.0', '6.0'], 'gt': '0', 'pred': '0'}
{'label': ['0.0', '26.5', '2.71', '1.0', '8.0', '4.0', '0.085', '0.0', '0.0', '0.0', '0.0', '1.0', '80.0', '1.0'], 'gt': '0', 'pred': '0'}
{'label': ['1.0', '17.5', '22.0', '3.0', '1.0', '7.0', '0.0', '0.0', '0.0', '0.0', '1.0', '3.0', '450.0', '100001.0'], 'gt': '1', 'pred': '1'}
{'label': ['1.0', '19.58', '0.585', '2.0', '1.0', '1.0', '0.0', '0.0', '1.0', '3.0', '0.0', '2.0', '350.0', '770.0'], 'gt': '0', 'pred': '0'}
{'label': ['1.0', '32.33', '2.5', '2.0', '8.0', '4.0', '1.25', '0.0', '0.0', '0.0', '1.0', '2.0', '280.0', '1.0'], 'gt': '0', 'pred': '0'}
{'label': ['1.0', '47.17', '5.835', '2.0', '9.0', '4.0', '5.5', '0.0', '0.0', '0.0', '0.0', '2.0', '465.0', '151.0'], 'gt': '0', 'pred': '1'}
{'label': ['0.0', '22.42', '11.25', '1.0', '14.0', '8.0', '0.75', '1.0', '1.0', '4.0', '0.0', '2.0', '0.0', '322.0'], 'gt': '1', 'pred': '1'}
{'label': ['1.0', '34.0', '5.5', '1.0', '8.0', '4.0', '1.5', '0.0', '0.0', '0.0', '1.0', '2.0', '60.0', '1.0'], 'gt': '0', 'pred': '0'}
{'label': ['1.0', '22.08', '0.83', '2.0', '8.0', '8.0', '2.165', '0.0', '0.0', '0.0', '1.0', '2.0', '128.0', '1.0'], 'gt': '1', 'pred': '0'}
{'label': ['1.0', '29.25', '13.0', '2.0', '2.0', '8.0', '0.5', '0.0', '0.0', '0.0', '0.0', '2.0', '228.0', '1.0'], 'gt': '0', 'pred': '0'}
{'label': ['1.0', '24.58', '13.5', '1.0', '1.0', '1.0', '0.0', '0.0', '0.0', '0.0', '0.0', '2.0', '184.0', '1.0'], 'gt': '0', 'pred': '0'}
{'label': ['1.0', '41.5', '1.54', '2.0', '3.0', '5.0', '3.5', '0.0', '0.0', '0.0', '0.0', '2.0', '216.0', '1.0'], 'gt': '1', 'pred': '0'}
{'label': ['1.0', '29.42', '1.25', '2.0', '9.0', '4.0', '1.75', '0.0', '0.0', '0.0', '0.0', '2.0', '200.0', '1.0'], 'gt': '0', 'pred': '0'}
{'label': ['1.0', '34.08', '6.5', '2.0', '6.0', '4.0', '0.125', '1.0', '0.0', '0.0', '1.0', '2.0', '443.0', '1.0'], 'gt': '0', 'pred': '1'}
{'label': ['0.0', '45.0', '4.585', '2.0', '4.0', '8.0', '1.0', '0.0', '0.0', '0.0', '1.0', '1.0', '240.0', '1.0'], 'gt': '0', 'pred': '0'}
{'label': ['1.0', '23.5', '2.75', '2.0', '1.0', '1.0', '4.5', '0.0', '0.0', '0.0', '0.0', '2.0', '160.0', '26.0'], 'gt': '0', 'pred': '1'}
