dataset: fishiris.csv
time_cons: 0.22403955459594727 s
mem_cons: 2001.65234375 KB
precision: {'virginica': 1.0, 'setosa': 1.0, 'versicolor': 1.0}
recall: {'virginica': 1.0, 'setosa': 1.0, 'versicolor': 1.0}
f1: {'virginica': 1.0, 'setosa': 1.0, 'versicolor': 1.0}
result: 
{'label': ['6.1', '2.8', '4.7', '1.2'], 'gt': 'versicolor', 'pred': 'versicolor'}
{'label': ['5.7', '3.8', '1.7', '0.3'], 'gt': 'setosa', 'pred': 'setosa'}
{'label': ['7.7', '2.6', '6.9', '2.3'], 'gt': 'virginica', 'pred': 'virginica'}
{'label': ['6', '2.9', '4.5', '1.5'], 'gt': 'versicolor', 'pred': 'versicolor'}
{'label': ['6.8', '2.8', '4.8', '1.4'], 'gt': 'versicolor', 'pred': 'versicolor'}
{'label': ['5.4', '3.4', '1.5', '0.4'], 'gt': 'setosa', 'pred': 'setosa'}
{'label': ['5.6', '2.9', '3.6', '1.3'], 'gt': 'versicolor', 'pred': 'versicolor'}
{'label': ['6.9', '3.1', '5.1', '2.3'], 'gt': 'virginica', 'pred': 'virginica'}
{'label': ['6.2', '2.2', '4.5', '1.5'], 'gt': 'versicolor', 'pred': 'versicolor'}
{'label': ['5.8', '2.7', '3.9', '1.2'], 'gt': 'versicolor', 'pred': 'versicolor'}
{'label': ['6.5', '3.2', '5.1', '2'], 'gt': 'virginica', 'pred': 'virginica'}
{'label': ['4.8', '3', '1.4', '0.1'], 'gt': 'setosa', 'pred': 'setosa'}
{'label': ['5.5', '3.5', '1.3', '0.2'], 'gt': 'setosa', 'pred': 'setosa'}
{'label': ['4.9', '3.1', '1.5', '0.1'], 'gt': 'setosa', 'pred': 'setosa'}
{'label': ['5.1', '3.8', '1.5', '0.3'], 'gt': 'setosa', 'pred': 'setosa'}
{'label': ['6.3', '3.3', '4.7', '1.6'], 'gt': 'versicolor', 'pred': 'versicolor'}
{'label': ['6.5', '3', '5.8', '2.2'], 'gt': 'virginica', 'pred': 'virginica'}
{'label': ['5.6', '2.5', '3.9', '1.1'], 'gt': 'versicolor', 'pred': 'versicolor'}
{'label': ['5.7', '2.8', '4.5', '1.3'], 'gt': 'versicolor', 'pred': 'versicolor'}
{'label': ['6.4', '2.8', '5.6', '2.2'], 'gt': 'virginica', 'pred': 'virginica'}
{'label': ['4.7', '3.2', '1.6', '0.2'], 'gt': 'setosa', 'pred': 'setosa'}
{'label': ['6.1', '3', '4.9', '1.8'], 'gt': 'virginica', 'pred': 'virginica'}
{'label': ['5', '3.4', '1.6', '0.4'], 'gt': 'setosa', 'pred': 'setosa'}
{'label': ['6.4', '2.8', '5.6', '2.1'], 'gt': 'virginica', 'pred': 'virginica'}
{'label': ['7.9', '3.8', '6.4', '2'], 'gt': 'virginica', 'pred': 'virginica'}
{'label': ['6.7', '3', '5.2', '2.3'], 'gt': 'virginica', 'pred': 'virginica'}
{'label': ['6.7', '2.5', '5.8', '1.8'], 'gt': 'virginica', 'pred': 'virginica'}
{'label': ['6.8', '3.2', '5.9', '2.3'], 'gt': 'virginica', 'pred': 'virginica'}
{'label': ['4.8', '3', '1.4', '0.3'], 'gt': 'setosa', 'pred': 'setosa'}
{'label': ['4.8', '3.1', '1.6', '0.2'], 'gt': 'setosa', 'pred': 'setosa'}
